도서관명,시도명,시군구명,도서관유형,상태는 어떤거냐?
덕산아내프리미엄아파트 작은도서관,경상남도,거제시,작은도서관,a1
강하작은도서관,경기도,양평군,작은도서관,a2
강상작은도서관,경기도,양평군,작은도서관,a3
양동도서관,경기도,양평군,공공도서관,a4
지평도서관,경기도,양평군,공공도서관,a5
용문도서관,경기도,양평군,공공도서관,a6
양서친환경도서관,경기도,양평군,공공도서관,a7
어린이도서관,경기도,양평군,공공도서관,a8
별빛도서관,경기도,남양주시,공공도서관,a9
퇴계원도서관,경기도,남양주시,공공도서관,a10
대림동산작은도서관,경기도,안성시,작은도서관,a11
삼죽작은도서관,경기도,안성시,작은도서관,a12
죽산작은도서관,경기도,안성시,작은도서관,a13
부영작은도서관,경기도,안성시,작은도서관,a14
태산작은도서관,경기도,안성시,작은도서관,a15
조이도서관,인천광역시,부평구,작은도서관,a16
하우스디 작은도서관,인천광역시,부평구,작은도서관,a17
함께하는 사랑밭 그림책도서관 1호점,인천광역시,부평구,작은도서관,a18
노동자의 작은도서관 사람,인천광역시,부평구,작은도서관,a19
거창군립한마음도서관,경상남도,거창군,공공도서관,a20
홍도도서관,대전광역시,동구,공공도서관,a21
자양도서관,대전광역시,동구,공공도서관,a22
성남도서관,대전광역시,동구,공공도서관,a23
무지개도서관,대전광역시,동구,공공도서관,a24
판암도서관,대전광역시,동구,공공도서관,a25
가양도서관,대전광역시,동구,공공도서관,a26
신탄진도서관,대전광역시,대덕구,공공도서관,a27
세미원작은도서관,경기도,양평군,작은도서관,a28
단월작은도서관,경기도,양평군,작은도서관,a29
개군작은도서관,경기도,양평군,작은도서관,a30
청운작은도서관,경기도,양평군,작은도서관,a31
서종작은도서관,경기도,양평군,작은도서관,a32
호평도서관,경기도,남양주시,공공도서관,a33
평내도서관,경기도,남양주시,공공도서관,a34
진건도서관,경기도,남양주시,공공도서관,a35
화도도서관,경기도,남양주시,공공도서관,a36
와부도서관,경기도,남양주시,공공도서관,a37
도농도서관,경기도,남양주시,공공도서관,a38
월야 작은도서관,전라남도,함평군,작은도서관,a39
용강도서관,전라남도,광양시,공공도서관,a40
희망도서관,전라남도,광양시,어린이도서관,a41
중마도서관,전라남도,광양시,공공도서관,a42
중앙도서관,전라남도,광양시,공공도서관,a43
학교면 작은도서관,전라남도,함평군,작은도서관,a44
대동 사랑방문고,전라남도,함평군,작은도서관,a45
신광 마을도서관,전라남도,함평군,작은도서관,a46
손불 작은도서관,전라남도,함평군,작은도서관,a47
함평군립도서관,전라남도,함평군,공공도서관,a48
작전도서관,인천광역시,계양구,공공도서관,a49
무지개도서관,경기도,성남시,공공도서관,a50
구미도서관,경기도,성남시,공공도서관,a51
광천공공도서관,충청남도,홍성군,공공도서관,a52
햇빛21작은도서관,경기도,고양시 덕양구,작은도서관,a53
사랑채작은도서관,인천광역시,부평구,작은도서관,a54
선일비전영어작은도서관,인천광역시,부평구,작은도서관,a55
하하작은도서관,인천광역시,부평구,작은도서관,a56
두드림작은도서관,인천광역시,부평구,작은도서관,a57
동암비전도서관,인천광역시,부평구,작은도서관,a58
한라도서관,제주특별자치도,제주시,공공도서관,a59
동수작은도서관,인천광역시,부평구,작은도서관,a60
글마루도서관,인천광역시,부평구,작은도서관,a61
갈산밀알도서관,인천광역시,부평구,작은도서관,a62
산곡글향기도서관,인천광역시,부평구,작은도서관,a63
희망천작은도서관,인천광역시,부평구,작은도서관,a64
샘터도서관,인천광역시,부평구,작은도서관,a65
꿈나무작은도서관,인천광역시,부평구,작은도서관,a66
부개어린이도서관,인천광역시,부평구,공공도서관,a67
갈산도서관,인천광역시,부평구,공공도서관,a68
청천도서관,인천광역시,부평구,공공도서관,a69
부평기적의도서관,인천광역시,부평구,공공도서관,a70
증평군립도서관,충청북도,증평군,공공도서관,a71
희망 Library Center,경기도,의정부시,작은도서관,a72
선비마을작은도서관,경상남도,산청군,작은도서관,a73
행복미소작은도서관,경상남도,산청군,작은도서관,a74
외포바다마을 작은도서관,경상남도,거제시,작은도서관,a75
꿈꾸는놀이터 작은도서관,경상남도,거제시,작은도서관,a76
엘마르작은도서관,경상남도,거제시,작은도서관,a77
고읍내작은도서관,경기도,양평군,작은도서관,a78
서귀포학생문화원도서관,제주특별자치도,서귀포시,공공도서관,a79
제주도서관,제주특별자치도,제주시,공공도서관,a80
성산일출도서관,제주특별자치도,서귀포시,공공도서관,a81
표선도서관,제주특별자치도,서귀포시,공공도서관,a82
안덕산방도서관,제주특별자치도,서귀포시,공공도서관,a83
서귀포기적의도서관,제주특별자치도,서귀포시,공공도서관,a84
서부도서관,제주특별자치도,서귀포시,공공도서관,a85
동부도서관,제주특별자치도,서귀포시,공공도서관,a86
중앙도서관,제주특별자치도,서귀포시,공공도서관,a87
삼매봉도서관,제주특별자치도,서귀포시,공공도서관,a88
한경도서관,제주특별자치도,제주시,공공도서관,a89
애월도서관,제주특별자치도,제주시,공공도서관,a90
조천읍도서관,제주특별자치도,제주시,공공도서관,a91
제주시기적의도서관,제주특별자치도,제주시,공공도서관,a92
구정자료실작은도서관,부산광역시,부산중구,작은도서관,a93
민들레작은도서관,부산광역시,부산중구,작은도서관,a94
산리작은도서관,부산광역시,부산중구,작은도서관,a95
책갈피작은도서관,부산광역시,부산중구,작은도서관,a96
한뫼도서관,경기도,고양시 일산서구,공공도서관,a97
풍동도서관,경기도,고양시 일산동구,공공도서관,a98
푸른마을작은도서관,경기도,고양시 덕양구,작은도서관,a99
호수공원작은도서관,경기도,고양시 일산동구,작은도서관,a100
행신어린이도서관,경기도,고양시 덕양구,어린이도서관,a101
행신도서관,경기도,고양시 덕양구,공공도서관,a102
햇빛마을작은도서관,경기도,고양시 덕양구,작은도서관,a103
대방어린이도서관,서울특별시,동작구,공공도서관,a104
빛나라도서관,전라남도,화순군,작은도서관,a105
동작어린이도서관,서울특별시,동작구,공공도서관,a106
동작상도국주도서관,서울특별시,동작구,공공도서관,a107
한수풀도서관,제주특별자치도,서귀포시,공공도서관,a108
동녘도서관,제주특별자치도,서귀포시,공공도서관,a109
송악도서관,제주특별자치도,서귀포시,공공도서관,a110
제남도서관,제주특별자치도,서귀포시,공공도서관,a111
우당도서관,제주특별자치도,제주시,공공도서관,a112
탐라도서관,제주특별자치도,제주시,공공도서관,a113
태안군립중앙도서관,충청남도,태안군,공공도서관,a114
태안군립안면도서관,충청남도,태안군,공공도서관,a115
부개도서관,인천광역시,부평구,공공도서관,a116
삼산도서관,인천광역시,부평구,공공도서관,a117
괴산교육도서관,충청북도,괴산군 괴산읍,공공도서관,a118
증평교육도서관,충청북도,증평군,공공도서관,a119
별내도서관,경기도,남양주시,공공도서관,a120
진접도서관,경기도,남양주시,공공도서관,a121
진접푸른숲도서관,경기도,남양주시,공공도서관,a122
오남도서관,경기도,남양주시,공공도서관,a123
남부면작은도서관,경상남도,거제시,작은도서관,a124
글밭작은도서관,경상남도,거제시,작은도서관,a125
성은작은도서관,경상남도,거제시,작은도서관,a126
바람의언덕작은도서관,경상남도,거제시,작은도서관,a127
참새미작은도서관,경상남도,거제시,작은도서관,a128
힐나눔작은도서관,경상남도,거제시,작은도서관,a129
파라미타작은도서관,경상남도,거제시,작은도서관,a130
덕산아내프리미엄2차아파트작은도서관,경상남도,거제시,작은도서관,a131
벽산3차새마을작은도서관,경상남도,거제시,작은도서관,a132
벽산-e솔렌스힐2차작은도서관,경상남도,거제시,작은도서관,a133
참좋은작은도서관,경상남도,거제시,작은도서관,a134
e편한세상옥포아파트작은도서관,경상남도,거제시,작은도서관,a135
둔덕청마꽃들작은도서관,경상남도,거제시,작은도서관,a136
거제시립장평도서관,경상남도,거제시,공공도서관,a137
거제시립옥포도서관,경상남도,거제시,공공도서관,a138
거제시립장승포도서관,경상남도,거제시,공공도서관,a139
거제시립수양도서관,경상남도,거제시,공공도서관,a140
거제시립하청도서관,경상남도,거제시,공공도서관,a141
옥포작은도서관,경상남도,거제시,작은도서관,a142
새마을문고작은도서관,경상남도,거제시,작은도서관,a143
푸른숲작은도서관,경상남도,거제시,작은도서관,a144
모오리돌작은도서관,경상남도,거제시,작은도서관,a145
마상공원작은도서관,경기도,고양시 덕양구,작은도서관,a146
모당공원작은도서관,경기도,고양시 일산동구,작은도서관,a147
백석도서관,경기도,고양시 일산동구,공공도서관,a148
사리현작은도서관,경기도,고양시 일산동구,작은도서관,a149
삼송도서관,경기도,고양시 덕양구,공공도서관,a150
식사도서관,경기도,고양시 일산동구,공공도서관,a151
신도작은도서관,경기도,고양시 덕양구,작은도서관,a152
신원도서관,경기도,고양시 덕양구,공공도서관,a153
아람누리도서관,경기도,고양시 일산동구,공공도서관,a154
원당도서관,경기도,고양시 덕양구,공공도서관,a155
주엽어린이도서관,경기도,고양시 일산서구,어린이도서관,a156
탄현작은도서관,경기도,고양시 일산서구,작은도서관,a157
중앙도서관,경기도,양평군,공공도서관,a158
가좌도서관,경기도,고양시 일산서구,공공도서관,a159
강촌공원작은도서관,경기도,고양시 일산동구,작은도서관,a160
고양 포돌이 안전도서관,경기도,고양시 덕양구,작은도서관,a161
고양윤창작은도서관,경기도,고양시 덕양구,작은도서관,a162
고양작은도서관,경기도,고양시 덕양구,작은도서관,a163
관산작은도서관,경기도,고양시 덕양구,작은도서관,a164
대덕작은도서관,경기도,고양시 덕양구,작은도서관,a165
대화도서관,경기도,고양시 일산서구,공공도서관,a166
대화마을작은도서관,경기도,고양시 일산서구,작은도서관,a167
덕이도서관,경기도,고양시 일산서구,공공도서관,a168
마두도서관,경기도,고양시 일산동구,공공도서관,a169
가오도서관,대전광역시,동구,공공도서관,a170
용운도서관,대전광역시,동구,공공도서관,a171
동구청 작은도서관,대구광역시,동구,작은도서관,a172
함양도서관,경상남도,함양군,공공도서관,a173
하늘도시교회작은도서관,인천광역시,부평구,작은도서관,a174
마을도서관,인천광역시,부평구,작은도서관,a175
해오름작은도서관,인천광역시,부평구,작은도서관,a176
늘푸른도서관,인천광역시,부평구,작은도서관,a177
엘림작은도서관,인천광역시,부평구,작은도서관,a178
청소년인문학도서관 두잉,인천광역시,부평구,작은도서관,a179
꿈땅도서관,인천광역시,부평구,작은도서관,a180
옹달샘도서관,인천광역시,부평구,작은도서관,a181
누리보듬 마을문고,인천광역시,부평구,작은도서관,a182
동그라미도서관,인천광역시,부평구,작은도서관,a183
춤추는달팽이도서관,인천광역시,부평구,작은도서관,a184
신나는여성주의도서관 랄라,인천광역시,부평구,작은도서관,a185
청개구리어린이도서관,인천광역시,부평구,작은도서관,a186
민들레작은도서관,인천광역시,부평구,작은도서관,a187
반야월역사 작은도서관,대구광역시,동구,작은도서관,a188
해안동 작은도서관,대구광역시,동구,작은도서관,a189
동촌역사 작은도서관,대구광역시,동구,작은도서관,a190
지저동 작은도서관,대구광역시,동구,작은도서관,a191
불로어울림 작은도서관,대구광역시,동구,작은도서관,a192
도평동 작은도서관,대구광역시,동구,작은도서관,a193
효목2동 작은도서관,대구광역시,동구,작은도서관,a194
효목1동 작은도서관,대구광역시,동구,작은도서관,a195
신천4동 작은도서관,대구광역시,동구,작은도서관,a196
신천3동 작은도서관,대구광역시,동구,작은도서관,a197
신암3동작은도서관,대구광역시,동구,작은도서관,a198
신암2동작은도서관,대구광역시,동구,작은도서관,a199
신천도서관,대구광역시,동구,공공도서관,a200
안심도서관,대구광역시,동구,공공도서관,a201
철마도서관,전라남도,진도군,공공도서관,a202
넓은들작은도서관,서울특별시,양천구,작은도서관,a203
고맙습니다 작은도서관,서울특별시,양천구,작은도서관,a204
호롱불작은도서관,서울특별시,양천구,작은도서관,a205
그린나래미술도서관,서울특별시,양천구,작은도서관,a206
지양마을 작은도서관,서울특별시,양천구,작은도서관,a207
달빛마을 작은도서관,서울특별시,양천구,작은도서관,a208
고운맘 작은도서관,서울특별시,양천구,작은도서관,a209
고운달 작은도서관,서울특별시,양천구,작은도서관,a210
꿈자람 작은도서관,서울특별시,양천구,작은도서관,a211
달마을작은도서관,서울특별시,양천구,작은도서관,a212
영어특성화도서관,서울특별시,양천구,공공도서관,a213
해맞이역사도서관,서울특별시,양천구,공공도서관,a214
방아다리문학도서관,서울특별시,양천구,공공도서관,a215
개울건강도서관,서울특별시,양천구,공공도서관,a216
목마교육도서관,서울특별시,양천구,공공도서관,a217
미감도서관,서울특별시,양천구,공공도서관,a218
신월음악도서관,서울특별시,양천구,공공도서관,a219
갈산도서관,서울특별시,양천구,공공도서관,a220
국사봉숲속작은도서관,서울특별시,동작구,작은도서관,a221
다울작은도서관,서울특별시,동작구,작은도서관,a222
동작샘터도서관,서울특별시,동작구,작은도서관,a223
약수도서관,서울특별시,동작구,공공도서관,a224
사당솔밭도서관,서울특별시,동작구,공공도서관,a225
?다작은도서관,부산광역시,부산중구,작은도서관,a226
보수동책방골목어린이도서관,부산광역시,부산중구,어린이도서관,a227
고맙습니다.글마루작은도서관,부산광역시,부산중구,작은도서관,a228
녹양동 작은도서관,경기도,의정부시,작은도서관,a229
흥선동 작은도서관,경기도,의정부시,작은도서관,a230
가능동 작은도서관,경기도,의정부시,작은도서관,a231
자금동 작은도서관,경기도,의정부시,작은도서관,a232
송산2동 작은도서관,경기도,의정부시,작은도서관,a233
송산1동 작은도서관,경기도,의정부시,작은도서관,a234
신곡2동 작은도서관,경기도,의정부시,작은도서관,a235
신곡1동 작은도서관,경기도,의정부시,작은도서관,a236
장암동 작은도서관,경기도,의정부시,작은도서관,a237
해보 작은도서관,전라남도,함평군,작은도서관,a238
통영시립욕지도서관,경상남도,통영시,공공도서관,a239
송촌도서관,대전광역시,대덕구,공공도서관,a240
안산도서관,대전광역시,대덕구,공공도서관,a241
내유작은도서관,경기도,고양시 덕양구,작은도서관,a242
